adam,57.66,66.04,1.6,5694,1.51917,0,0,0
cafe,2.98,10100,0,67915,615.768,8,38,48
mag,23.38,6210.92,0.8,50605,4.35493,0,0,1
cat,8.36,10000,0.02,67139,20.3607,0,0,1
dum,2.92,10100,0.02,70987,193.469,33,46,49
face,31.96,10000,0.02,72601,87.1173,0,8,11
fox,13.78,8683,0.4,64650,116.71,0,0,1
girl,32.96,9607.84,0.8,72974,4.96203,0,0,1
graf,67.76,37,1.6,4313,1.1365,0,0,0
grand,21.16,7439.12,0.02,56585,125.701,10,19,29
index,32.12,10000,2,74991,443.095,0,12,12
pkk,13.32,10000,2,72330,150.696,0,22,33
shop,20.66,306.84,1.2,5225,1.32347,0,0,0
there,22.72,9265.04,1.6,68705,18.4747,0,0,2
vin,4.46,10000,0.02,68642,382.81,0,2,12
