barrsmith,153.83,6.08,1.4,6435,-1,-1,-1,-1
bonhall,660,1,0.6,6249,-1,-1,-1,-1
bonython,34.22,10.24,0.05,745,-1,-1,-1,-1
elderhallb,313,1.09,0.4,3441,-1,-1,-1,-1
hartley,192.2,1.41,0.6,3717,-1,-1,-1,-1
johnsona,500,2.06,0.6,6303,-1,-1,-1,-1
johnsonb,495,3.9,0.6,5325,-1,-1,-1,-1
ladysymon,249,1.97,0.8,4075,-1,-1,-1,-1
library,74,2.98,0.4,2272,-1,-1,-1,-1
napiera,91.21,19.94,0.8,4620,-1,-1,-1,-1
napierb,152.5,6.47,0.6,4818,-1,-1,-1,-1
neem,220.89,1.33,0.6,4712,-1,-1,-1,-1
nese,275.49,1.65,0.4,5299,-1,-1,-1,-1
oldclassicswing,539,1.13,0.4,5616,-1,-1,-1,-1
physics,38.29,29.24,0.04,783,-1,-1,-1,-1
sene,221.8,1.52,0.4,4286,-1,-1,-1,-1
unihouse,648.35,1.63,1,8534,-1,-1,-1,-1
unionhouse,71.4,1.64,0.8,4433,-1,-1,-1,-1
