adam,133.38,4.29,0.2,6846,0.811911,0,0,0
Brussels,1602.06,54.74,0.82,48931,1.60273,0,0,0
boat,304.4,7.5,0.81,303503,1.12416,0,0,0
BostonLib,422,4.76,0.6,11746,0.429542,0,0,0
city,37.13,11.26,0.21,2501,0.545429,0,0,0
Boston,730.01,2.09,0.8,139789,0.619924,0,0,0
Eiffel,353.06,1.45,0.8,213832,0.458181,0,0,0
WhiteBoard,171.35,5.21,0.4,6850,0.748547,0,0,0
BruggeSquare,49.43,58.67,0.01,4476,3.45764,0,0,0
ExtremeZoom,130.82,813.3,1,16822,0.734248,0,0,0
BruggeTower,183.51,8.84,0.82,8654,2.17414,0,0,0
graf,220.75,28.2,0.6,14227,1.7046,0,0,0
