booksh,150.07,5.16,0.41,3874,0.156274,0,0,0
box,159.01,17.49,0.4,4851,-1,-1,-1,-1
castle,147.03,34.17,0.6,4905,78.0495,0,0,0
corr,385.79,1,0.4,5572,-1,-1,-1,-1
graff,12.23,9940.34,0.01,107192,-1,-1,-1,-1
head,252.47,6.09,0.6,6103,-1,-1,-1,-1
kampa,93.32,34,0.8,5767,0.565348,0,0,0
Kyoto,932.78,16.17,1,20023,-1,-1,-1,-1
leafs,63.09,1008.98,0.61,9350,6.76736,0,0,0
plant,115.42,326.95,0.41,5588,120.969,0,0,0
rotunda,12.63,68.6,0.04,1088,-1,-1,-1,-1
shout,67.65,227.85,0.81,7694,1.11785,0,0,0
valbonne,122.93,5.12,0.6,3332,-1,-1,-1,-1
wall,200.47,8.06,0.61,5567,0.0503716,0,0,0
wash,25.2,2690.71,0.04,17091,-1,-1,-1,-1
zoom,150,9.13,0.61,5304,-1,-1,-1,-1
